City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,7.3,89,96,14.67,TF,1683237845
1,kas,36.2018,29.6377,19.2,65,99,5.35,TR,1683237845
2,aykhal,66.0,111.5,-5.19,97,98,2.12,RU,1683237845
3,puerto natales,-51.7236,-72.4875,6.43,88,35,2.6,CL,1683237846
4,fortuna,40.5982,-124.1573,12.03,87,100,0.89,US,1683237630
5,tralee,52.2704,-9.7026,10.52,99,100,3.12,IE,1683237846
6,ziro,27.6333,93.8333,9.31,98,97,0.75,IN,1683237846
7,puerto ayora,-0.7393,-90.3518,30.98,88,71,2.68,EC,1683237846
8,isafjordur,66.0755,-23.124,5.99,86,100,1.71,IS,1683237847
9,yerofey pavlovich,53.9667,121.9667,1.54,59,32,1.49,RU,1683237847
10,susuman,62.7833,148.1667,-3.39,82,92,0.95,RU,1683237847
11,port mathurin,-19.6833,63.4167,26.14,74,8,7.45,MU,1683237847
12,olonkinbyen,70.9221,-8.7187,0.76,87,100,9.21,SJ,1683237848
13,sisimiut,66.9395,-53.6735,0.79,88,39,4.3,GL,1683237848
14,edinburgh of the seven seas,-37.0676,-12.3116,14.89,76,81,7.69,SH,1683237848
15,qiqihar,47.3408,123.9672,10.46,36,86,4.21,CN,1683237848
16,adamstown,-25.066,-130.1015,22.77,78,100,11.48,PN,1683237849
17,weligama,5.9667,80.4167,25.22,86,100,6.86,LK,1683237849
18,aasiaat,68.7098,-52.8699,-1.33,83,24,5.3,GL,1683237849
19,ribeira grande,38.5167,-28.7,17.65,93,89,6.71,PT,1683237849
20,grytviken,-54.2811,-36.5092,3.41,94,84,3.07,GS,1683237849
21,bethel,41.3712,-73.414,14.05,56,20,3.6,US,1683237850
22,newman,37.3138,-121.0208,18.46,71,67,1.34,US,1683237850
23,raichur,16.2,77.3667,25.52,76,86,3.53,IN,1683237850
24,kingston,17.997,-76.7936,32.91,68,20,10.8,JM,1683237554
25,waitangi,-43.9535,-176.5597,17.12,90,98,3.58,NZ,1683237851
26,sungai penuh,-2.0833,101.3833,19.6,98,100,0.23,ID,1683237851
27,utrik,11.2278,169.8474,26.94,76,99,6.61,MH,1683237851
28,enewetak,11.3474,162.3373,27.16,75,88,7.36,MH,1683237851
29,talnakh,69.4865,88.3972,-13.77,95,81,0.78,RU,1683237851
30,lebu,-37.6167,-73.65,12.13,87,100,7.61,CL,1683237852
31,oral,51.2333,51.3667,7.99,61,0,4.0,KZ,1683237852
32,saipan,15.1355,145.701,28.39,100,40,5.14,MP,1683237852
33,longyearbyen,78.2186,15.6401,-3.09,93,75,2.06,SJ,1683237673
34,ushuaia,-54.8,-68.3,6.81,70,75,0.51,AR,1683237853
35,hermanus,-34.4187,19.2345,12.11,74,25,2.56,ZA,1683237853
36,mejit,10.2753,170.8646,27.24,77,97,7.1,MH,1683237853
37,tezu,27.9167,96.1667,19.88,90,100,0.81,IN,1683237853
38,surgeres,46.1,-0.75,14.96,88,53,2.5,FR,1683237853
39,colonia,50.9333,6.95,18.79,52,0,3.09,DE,1683237829
40,narrabri,-30.3167,149.7833,12.04,43,14,0.75,AU,1683237854
41,malakal,9.5334,31.6605,31.24,35,85,1.73,SS,1683237854
42,holualoa,19.6228,-155.9522,26.91,69,40,4.63,US,1683237854
43,dunedin,-45.8742,170.5036,12.11,97,87,0.89,NZ,1683237673
44,bilibino,68.0546,166.4372,-8.55,88,100,1.55,RU,1683237854
45,atafu village,-8.5421,-172.5159,29.16,73,63,7.5,TK,1683237855
46,ilulissat,69.2167,-51.1,-0.99,80,75,0.0,GL,1683237855
47,papatowai,-46.5619,169.4708,12.57,88,87,5.9,NZ,1683237855
48,mahibadhoo,3.7833,72.9667,26.54,78,100,6.73,MV,1683237855
49,la passe,45.5549,-0.8967,16.13,74,57,1.37,FR,1683237855
50,banff,51.1762,-115.5698,22.57,55,95,2.06,CA,1683237732
51,anadyr,64.75,177.4833,-7.72,78,0,1.0,RU,1683237856
52,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,94,20,0.51,ID,1683237856
53,chonchi,-42.6128,-73.8092,12.56,99,100,0.54,CL,1683237856
54,yemva,62.59,50.8594,1.7,68,8,2.53,RU,1683237856
55,bubaque,11.2833,-15.8333,26.8,79,68,6.18,GW,1683237857
56,shimoda,34.6667,138.95,18.39,76,21,6.66,JP,1683237857
57,jamestown,42.097,-79.2353,11.4,76,100,4.12,US,1683237617
58,kone,-21.0595,164.8658,25.59,79,4,2.14,NC,1683237857
59,luderitz,-26.6481,15.1594,14.45,68,1,5.75,NA,1683237858
60,lihue,21.9789,-159.3672,28.58,73,94,7.26,US,1683237818
61,xiuyan,40.2928,123.2744,15.18,95,100,5.09,CN,1683237858
62,thompson,55.7435,-97.8558,10.09,57,75,2.57,CA,1683237858
63,ispir,40.4829,40.9956,9.43,42,31,1.01,TR,1683237859
64,khandyga,62.6667,135.6,0.55,93,100,2.59,RU,1683237859
65,port elizabeth,-33.918,25.5701,18.39,77,20,5.14,ZA,1683237564
66,hawaiian paradise park,19.5933,-154.9731,26.13,75,100,0.0,US,1683237859
67,wailua homesteads,22.0669,-159.378,28.24,73,100,8.23,US,1683237859
68,margaret river,-33.95,115.0667,11.37,83,56,5.64,AU,1683237860
69,west island,-12.1568,96.8225,26.99,89,75,9.26,CC,1683237860
70,tura,25.5198,90.2201,19.73,91,16,0.95,IN,1683237707
71,cabo san lucas,22.8909,-109.9124,29.78,53,0,5.14,MX,1683237518
72,college,64.8569,-147.8028,9.49,49,97,0.41,US,1683237785
73,iskateley,67.6803,53.1512,-1.65,93,100,10.58,RU,1683237861
74,la'ie,21.6477,-157.9253,28.98,74,49,3.13,US,1683237861
75,bredasdorp,-34.5322,20.0403,13.37,75,0,1.57,ZA,1683237861
76,iqaluit,63.7506,-68.5145,-0.15,80,20,5.66,CA,1683237861
77,blackmans bay,-43.0167,147.3167,8.07,92,100,3.31,AU,1683237862
